"","text"
"11448","#sona2019 CR expresses alarm at the extent of corruption from commissions. This appears to be spurring the Govt (&amp; ruling party?) to implement new mechanisms within the NPA to tackle perpetrators. Eventually!! @OUTASA been asking for this for years."
"11449","#SONA2019 #NHI supposedly still on track. Cross-subsidizing development of healthcare from rich to poor is done through taxation structures. What we require is competence and good leadership in public healthcare. Govt has been reckless with taxes and management of this sector."
"11450","Whatever President Ramaphosa said to get the EFF to behave at the #SONA2019 was a stroke of genius. I stan."
"11451","The the return of the scorpions #SONA2019"
"11452","@TerryPheto Ons Geniet die #SONA2019 mejvrou"
"11453","Groenvald wanted to do a manifesto launch there #SONA2019"
"11454","Reporter: The president offered to support the work of parliament on land expropriation without compensation

CIC Malema: That's not a wow moment.

#SONA2019"
"11455","Hi guys, I missed #SONA2019 - can you please explain what happened, but I’m not interested in serious answers. Responses in memes only please."
"11456","Vele vele SONA didn't say anything about Data prices <U+0001F6AE>
<U+0001F6B6><U+0001F3FE><U+200D><U+2642><U+FE0F> 
Mxm angsa Vote!!!!I 
#SONA2019 https://t.co/ifb0St8yzq"
"11457","a new “world-class” oil and gas discovery off the coast of South Africa. Lead by oil gaints TOTAL - mixed emotions about this hope South African companies will be able to benefit from this initiative and SA at large <U+0001F9D0><U+0001F928><U+0001F9D0><U+0001F9D0><U+0001F914> #SONA2019 https://t.co/ttfIMCiVTK"
"11458","#SONA2019 ESKOM RSA to be split into 3separate entities. Great opportunity!!!!"
"11459","#SONA2019 Filled with outstanding plans covering extensive ICT inclusion across the 3 government arms, security institution, schools (townships &amp; urban centres). Utmost is the proposed 2years gap year before grade1."
"11460","@AdvBarryRoux No news, peyiye <U+0001F923><U+0001F602><U+0001F605>#SONA2019"
"11461","Ehh bana <U+0001F602><U+0001F602><U+0001F602> #Kuhambani la <U+0001F602><U+0001F602>

#SONA2019 https://t.co/G4YEsfClte"
"11462","@Julius_S_Malema Never dissapoints at all<U+0001F64C><U+0001F3FE><U+0001F64C><U+0001F3FE><U+0001F602><U+0001F602> .#leadership 

#SONA2019 https://t.co/w3wa7vHEQ6"
"11463","<U+0001F602><U+0001F602><U+0001F602>

#SONA2019 https://t.co/uYe4J0Savn"
"11464","Lets gain ya'l <U+0001F525><U+0001F525>

#SONA2019 https://t.co/c6p4MER2HO"
"11465","Agrizzi wanya tsotsi <U+0001F602><U+0001F602><U+0001F602> #SONA2019 https://t.co/imR1osXdZ0"
"11466","They are singing “AGRIZZI” #sona2019  <U+0001F602><U+0001F602><U+0001F602><U+0001F602>"
"11467","Bruh! Political party leaders in this country CAN SPEAK!!! Very believable, all 3 of them who just spoke after the #sona2019 ! <U+0001F646><U+200D><U+2642><U+FE0F>"
"11468","The Scorpions are back?? #SONA2019"
"11469","Even talks about astronomy , Brilliant !!! #SONA2019"
"11470","Julius Malema <U+0001F602><U+0001F602><U+0001F602><U+0001F923><U+0001F923><U+0001F923> #SONA2019"
"11471","Liquor shops near schools to be shutdown <U+0001F64F><U+0001F3FE><U+0001F525> #SONA2019"
"11472","Not a Cyril fan, and still skeptical about him

One thing I won’t do is lie and say this #SONA2019 isn’t great thus far"
"11473","They’re chanting “Agrizzi” <U+0001F923><U+0001F62D><U+0001F923> #SONA2019"
"11474","Cyril really is coming after corrupt officials #SONA2019"
"11475","Gotta say this is a solid #SONA2019 so far so good"
"11476","Now for Education #SONA2019 brilliant plans there impressive"
"11477","What a brilliant speech, flawless #SONA2019"
"11478","Election date: 8th May 2019 #SONA2019"
"11479","I’m glad he mentioned health care in universities because it’s appalling ! #SONA2019"
"11480","And they’re chanting Bosasa <U+0001F602><U+0001F923> #SONA2019 black people just sing whatever they want and makes it sound great!"
"11481","half of the things he promised won't be delivered, let alone achieved, hollow promises left, right, centre and across #sona2019"
"11482","the speech is getting monotonous now, why hasn't he switched a language today? so unCryril of him #SONA2019"
"11483","8th of May declared as voting day, for 2019 general elections #sona2019"
"11484","So basically that was an announcement for the 2019 election date? #SONA2019 https://t.co/2xBEerZky1"
"11485","what a peaceful Sona #SONA2019"
"11486","Food Parcel season is officially opened #Elections2019 #SONA2019"
"11487","Cupcake! #SONA2019 https://t.co/SQCVO9Wbyr"
"11488","I must say I'm impressed. Its time they acted like adults.we want change not comedy .#SONA2019"
"11489","Available @UrbanLifestyl19 
Price range from:
Pendant R150
Chain R150 - 200.
Size from 18'cm to 24'cm
WhatsApp 082 255 6197
Retweet For Awareness <U+0001F64F><U+0001F3FD>
#SONA2019 #ThursdayThoughts #SONA2018 #ItsTimeWeStopped https://t.co/LbrCHUmLBG"
"11490","Everytime the EFF want to fvck up #SONA2019, it's like they remember that they are not following the agreed upon script. <U+0001F644>"
"11491","Ramaphosa's boy band ndaba with Julius and Mmusi made #SONA2019 boring AF. Ya'll fvckers better sing something."
"11492","We still have time to decide if we're switching to The Queen because #SONA2019 isn't what we signed up."
"11493","Some major take-aways from #SONA2019 : Prosecutions must follow state capture inquiry, Total oil discovery,  e-visas, election date set, and like last year , land redistribution is on the cards. #SouthAfrica"
"11494","Why does she look drunk always mara?<U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>#SONA2019 https://t.co/WRhZ0Z1kIA"
"11495","#SONA2019...."
"11496","Enjoyed that SONA. 

...and he quotes Theodore Roosevelt...”The credit belongs to the man who is actually in the arena” ....”if he fails, he at least fails while daring greatly” #SONA2019 

Powerful closing. 

Please quote Afrikan thinkers in future Pres Ramaphosa."
"11497","#SONA2019 #SONA19 talking is cheap wethu Mr President <U+0001F60F><U+0001F60F> action speaks louder than words<U+0001F480><U+0001F480><U+0001F31A><U+0001F31A> #NomvulaMokonyaneMustGo! https://t.co/hHsUDpe52C"
"11498","#SONA2019 Cyril Ramaphosa wants to close our shebeens, sizonxila phi ??<U+0001F914><U+0001F92D><U+0001F646><U+0001F3FC><U+200D><U+2640><U+FE0F><U+0001F646><U+0001F3FC><U+200D><U+2640><U+FE0F> https://t.co/rO7vh874Io"
"11499","Agrizzi ...... #SONA2019"
"11500","@CyrilRamaphosa Good speech Mr President<U+270A> We want to see action taking place. <U+0001F64F>
#SONA2019 https://t.co/ut5oI7Wsl2"
"11501","Mmusi Mymoney sounds so bitter #SONA2019"
"11502","Pravin drafted that . #SONA2019"
"11503","#SONA2019 President Ramaphosa’s speech proposes a bright future for South Africans  #NoGravyTrain"
"11504","#SONA2019 Maimane is in dreamland and talking nonsense"
"11505","This #SONA2019 is boring!! Can Julius Malema and co. spice things up already!!! <U+0001F627><U+0001F627><U+0001F627>"
"11506","Yes wena Juju, @Julius_S_Malema!!! That's the @EFFSouthAfrica manifesto!!! #SONA2019"
"11507","Bathi Julius Malema is testing the waters with that point of order!!! <U+0001F602><U+0001F602><U+0001F602><U+0001F602> #SONA2019"
"11508","#SONA2019  @EFFSouthAfrica  manifesto  mini carbon paper.....<U+0001F64F><U+0001F64F><U+0001F64F>"
"11509","#sona2019 @ #effmanifesto has thumad pres. RaMasekela."
"11510","Di #SONA2019 vas bye goot dy Ramaphosa Oak es nie sleg nie"
"11511","@MmusiMaimane 
#SONA2019

You lack a vision of cooperative bipartisan, breaking the politicking barriers. Rather you continue to criticise not on the bases of assiting growth but the continued gaining of political points for the elections."
"11512","#SONA2019<U+0001F628> https://t.co/uNpMfwVl7w"
"11513","Ithini #SONA2019"
"11514","Yabhora le #SONA2019 <U+0001F60F>"
"11515","@bonang_m What do you think about #sona2019"
"11516","Cyril Ramaphosa is shocked by state capture and corruption. It’s like he forgets he was Deputy President during its height.  #SONA2019"
"11517","“What do you mean Eskom is being split?” #SONA2019 https://t.co/PVfQ3r2YhX"
"11518","Bathabile will be hung over tomorrow, watch this space.  #SONA2019 https://t.co/IAbVmyk9sR"
"11519","@CyrilRamaphosa mara you don’t have to lie to us. These jobs have BEEN en route #SONA2019 https://t.co/jwuhP1RwkX"
"11520","And then they left the mic open for people to add lyrics of their own neh<U+0001F923><U+0001F602> #SONA2019"
"11521","Watched the #SONA2019 like...... https://t.co/k3X8357Dtk"
"11522","Rich people deciding and dictating on a poor mans future. #SONA2019"
"11523","EFF manifesto was taken directly to sona for votes #SONA2019"
"11524","Now I know what we lost over the last nine years - Leadership #SONA2019"
"11525","Siyabonga President Cyril Ramaphosa... #SONA2019 clear, concise, structured speech."
"11526","Eskom Holdings will be broken up into Generation, Transmission and Distribution units, confirms @CyrilRamaphosa #SONA2019"
"11527","Comment: It would only be a churlish commentator who would not acknowledge that that was a good accounting, a firm set of actions and a rising call to the arena.  A Thuma Mina for 2019.  Your thoughts? #SONA2019"
"11528","Shamila Batohi and Desiree Ellis sitting side by side is making me smile <U+0001F60A> we are not short of kick-ass rainmaker sheroes in this fine land.  #SONA2019"
"11529","Comment: 58 minutes in, this is a workhorse's speech.  Aside from a light moment at the top, this is a serious and economics focused speech, neither charismatic nor showy.   #SONA2019 Do you like it?"
"11530","Breaking: Government will support Eskom’s balance sheet says @CyrilRamaphosa in #SONA2019 this is the big announcement. Details in budget."
"11531","There are items that come up in every national address but get nowhere like Buy SA, release urban municipal land for housing, the oceans <U+0001F30A> economy development.  #SONA2019"
"11532","""Bosasa!"" shout hecklers as @CyrilRamaphosa tries to praise @GwedeMantashe1 for his announcement of a significant oil and gas find off the coast.  ""He'll loot it,"" shouts an MP.  #SONA2019"
"11533","Comment: Announcement of the night:  compulsory early childhood education (cool crechés) for two years for our laaities.   This and focus on school sanitation is my tops <U+0001F44D><U+0001F3FE> #SONA2019"
"11534","A high-quality e-visa regime will be started, says @CyrilRamaphosa - this is second biggest announcement of #SONA2019."
"11535","#SONA2019 wack"
"11536","#SONA2019 Musi elections are coming and you still pointing <U+0001F449> fingers to ANC, what is your manifesto https://t.co/5byOtb8Aov"
"11537","We are led by old people who should be in retirement. In our homes these people do not even lead procedures in family ceremonies &amp; events but they are leading our country<U+0001F926><U+0001F3FE><U+200D><U+2642><U+FE0F> #SONA2019"
"11538","Tonight’s #SONA2019 was very peaceful and how relieved were the speakers though <U+0001F64C><U+0001F3FE><U+0001F64C><U+0001F3FE><U+0001F64C><U+0001F3FE><U+0001F64C><U+0001F3FE><U+0001F64C><U+0001F3FE>. I’m grateful @PresJGZuma wasn’t addressing #SONA2019"
"11539","#SONA2019 8 May 2019 set for National Elections"
"11540","#SONA2019 Well done cde President. May God bless you. Good night"
"11541","#SONA2019 A mention of Minister infested with Bosasa leprosy, irked the opposition benches"
"11542","#SONA2019 Transforming public schools into Tech High schools. Have we prepared educators for this move?"
"11543","#SONA2019 Splitting Eskom into transmission, generation &amp; distribution might help to ease the challenge."
"11544","#SONA2019 Focus on early childhood development and basic education we enhance your efforts to improve edu system. Agree Mr Pres"
"11545","He bana! #SONA2019 https://t.co/JslVWh7WFn"
"11546","So vele on May 8 we #voteoutANC ?
#SONA2019 https://t.co/MuT9igqyW9"
"11547","I thought corruption nje in general is a serious issue kanti there is corruption that is not serious?? 
#SONA2019 https://t.co/KDGikZ5wgv"
"11548","MmusiMaimanr tlhe joooooooo, u r so on point. Can he deliver? #SONA2019"
"11549","This president is quoting alles from rooseveldt to EFF, but watch this space was original xoxoxo (avoifing yo clap)#SONA2019"
"11550","Anicdotally I can say that....#SONA2019"
"11551","#SONA2019 I feel same https://t.co/k0TJReJWTl"
"11552","Good question #SONA2019 https://t.co/6BOvPGsBAA"
"11553","Malema says Ramaphosa will be the last ANC president to address the nation EVER. Sjoe. #SONA2019"
"11554","Go Juju. #channel404 #SONA2019"
"11555","@ferialhaffajee That is the difference between a President with a iPad and President with a flip file! #SONA2019"
"11556","Sanity has been restored to the beautiful country of ours! #SONA2019"
"11557","This is the difference between a President with a iPad and President with a flip file! #SONA2019"
"11558","Mam Khawula <U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923> #Sona2019"
"11559","A whole 38 pages #SONA2019"
"11560","The suit fits <U+0001F60A><U+0001F60A> #SONA2019 https://t.co/pQXMVualRG"
"11561",":  if our youth is voting for ANC or EFF on the 8th of May, then you are not serious about your futures #SONA2019"
"11562","#SONA2019 het te lank gegaan https://t.co/S6tvkU7CCQ"
"11563","Summary of SONA.
#SONA2019 nice words from the President Cyril Ramaphosa i heard for the last 25 years."
"11564","You spoke well Mr President but I’m still voting EFF<U+0001F602>#SONA2019"
"11565","#SONA2019 https://t.co/oiDviIpVTJ"
"11566","I've never looked Dr Pieter Groenewald of the FF+ the same way since that ""Fokken hond"" meme
#SONA2019"
"11567","#SONA2019 
#SONA19 umh Did anyone see Baba Mangosuthu Bethelezi or was she her replacement this year <U+0001F605><U+0001F615> https://t.co/sJfMNpW5ne"
"11568","This is to invite you to The State Of The National Address 2019 #SONA2019 by our President @CyrilRamaphosa

Mr Jacob Zuma: https://t.co/QBOzEcz67w"
"11569","#SONA2019 <U+0001F1FF><U+0001F1E6> https://t.co/XyD7iemQZl"
"11570","#SONA2019 <U+0001F1FF><U+0001F1E6> https://t.co/zpyPw6zsWo"
"11571","#SONA2019 <U+0001F1FF><U+0001F1E6> https://t.co/Pq117oar2P"
"11572","#SONA2019 <U+0001F1FF><U+0001F1E6> https://t.co/C9g3JFAQAB"
"11573","Product Demo #Video For #Product #Promotion on #Fiverr
Check: https://t.co/dgSZEkguoV
Use #Website #YouTube #Company Etc

#MakeANewFriendIn4Words
#SONA2019
Luciana Berger
#EquineFlu
Owen Smith
#HarryPotterBookNight
John Arne Riise
#TheThingIMissMost
Charles Dickens
Bergerac"
"11574","Instagram #Story #Video Ads For Your #Instagram 80 #Stories on #fiverr
check: https://t.co/jNkfQiLE2G
Use #Website #YouTube #Company Etc

#SONA2019
#thankunextTONIGHT
#TheThingIMissMost
Owen Smith
#EquineFlu
Luciana Berger
#PetSematary
Bergerac
John Arne Riise
Rosamunde Pilcher"
"11575","10 intro just 10$
#offer #offer
A #Video #Intro For Your #Youtube Channel on #Fiverr
check: https://t.co/HyxR8WQyKk
Use #Website #YouTube #Company Etc

#SONA2019
#thankunextTONIGHT
#TheThingIMissMost
Owen Smith
#EquineFlu
Luciana Berger
#PetSematary
Bergerac
John Arne Riise"
"11576","7 intro just 10$
#offer #offer
A #Stinger #Transition For Your #Twitch Channel on #Fiverr
Check: https://t.co/IyIUOfg85n
Use #Website #YouTube #Company Etc

#SONA2019
#thankunextTONIGHT
#TheThingIMissMost
Owen Smith
#EquineFlu
Luciana Berger
#PetSematary
Bergerac
John Arne Riise"
"11577","Caption this<U+0001F447><U+0001F3FE>
#SONA2019 https://t.co/dHeZl3A3fV"
"11578","Anyway, some info on Theodore Roosevelt. Gotta be careful whose words you lift of Quotable these days. #SONA2019 https://t.co/6p7CuOoTfj"
"11579","The president’s speech was too good <U+0001F610>and you know what they “Too much of a good thing is boring” #SONA2019 https://t.co/yXOAhP4vV1"
"11580","That was just a wish list with no action plan. #sona2019"
"11581","Ramaphosa: We recall with deep sadness the tragic deaths of #MichaelKomape, who drowned in a pit toilet at Mahlodumela Primary School in Limpopo in 2014, and #LumkaMkethwa, from Luna Junior Primary School in the Eastern Cape, who lost her life in March last year. #SONA2019"
"11582","Ramaphosa: Ending gender-based violence is an urgent national priority that requires the mobilisation of all South Africans and the involvement of all institutions. Here's the commitment Ramaphosa made at the #GBVSummit in November.  #SONA2019 https://t.co/MWhsGJcUG6"
"11583","Ramaphosa: We've established an #NHI and quality improvement War Room in the Presidency consisting of various key departments to address the crisis in the public health system while preparing for the implementation of the NHI. #SONA2019"
"11584","Ramaphosa: After extensive consultation, the National Health Bill will soon be ready for submission to Parliament. The #NHI will enable South Africans to receive free services at the point of care in public &amp; private quality-accredited health facilities. #SONA2019"
"11585","Ramaphosa says a 2018 audit by the Minister of Basic Education revealed that about 4000 schools in South Africa still have inadequate sanitation. #SONA2019"
"11586","Ramaphosa: South Africa has extremely high levels of substance abuse, which feeds crime and violence against women and children, it deepens poverty and causes great hardship and pain for families. #SONA2019"
"11587","Catch @heala_SA Executive Director and our incoming CEO @Sbo_Rose on @Powerfm987 from 11pm as she discusses the health issues Ramaphosa addressed in his #SONA2019. https://t.co/SEgQehqYj7"
"11588","Ramaphosa: We've listened to the call to make funds available to combat gender-based violence, and have allocated funding in the current budget to support the decisions taken at the #GBVSummit. #SONA2019"
"11589","Ramaphosa says government has a funded national quality health improvement plan to improve every clinic and hospital that will be contracted by #NHI. #SONA2019"
"11590","The National Health Insurance (NHI) will remain a “pipe dream” if human resources for health, especially in rural areas, aren’t urgently addressed.  #SONA2019 #NHI https://t.co/REJF8wPSCN"
"11591","Ramaphosa: We are urgently establishing an inter-governmental rapid response technical team, reinforced by specialist professionals, to intervene in areas which are experiencing severe water problems. #SONA2019"
"11592","Ramaphosa: 699 schools have since been provided with safe sanitation while 1 150 schools are in the planning and construction phases. The target is to eradicate improper sanitation within the next three years. #SONA2019"
"11593","Wat gaan aan hierso<U+0001F632>die mense is vol SOS die parliament 

#SONA2019 https://t.co/zFwz0uTHm0"
"11594","#SONA2019 May we please have a club on campus at University Of Limpopo"
"11595","On the issue of tablets. May the @PresidencyZA please tighten the security at the school gates

#SONA2019"
"11596","""I’m tired of promises, promises
'Cause they turn, turn to lies, turn to lies""
--Brenda Fassie
#SONA2019"
"11597","Bosasa....mtwana'm...iceesha le sondele #SONA2019 https://t.co/o4AgKlHeLq"
"11598","Very Presidential speech not that garbage we used to get from that giggling man

 #SONA2019 https://t.co/AbX88r2lfW"
"11599","“Bosasa Ramaphosa” <U+0001F602><U+0001F602><U+0001F602><U+270A><U+0001F3FD> #SONA2019"
"11600","EFF: We will disrupt #SONA2019 unless Cyril comes clean

Cyril to EFF before SONA: https://t.co/CiBEwNvWWb"
"11601","Mayflower beauty clinic offers you the best massage in Mogwase, Rustenburg.When you are looking for a place to relax and rejuvenate, think of visiting Mayflower beauty clinic and indulge in full body pampering. Owned by a 20yr old lady. #SONA2019 #SONA19 #SONA2018 #YatlaSatane https://t.co/afJAbNQKnl"
"11602","Babophe Ramaphosa, Bosasa e fikile, Agrizzi ...<U+0001F3A4><U+0001F3B6><U+0001F3B5><U+0001F3B8>#SONA2019"
"11603","Ramaphosa must be arrested for Plagiarism <U+0001F602><U+0001F602><U+0001F602> #SONA2019"
"11604","Agrizzi <U+0001F3B5><U+0001F3B6><U+0001F3A4>wasn't  ready fo that remix #SONA2019"
"11605","@StephenGrootes, Why did that guy @MmusiMaimane leave parliament before important people as per protocol? #SONA2019"
"11606","Today it’s the Model C Mmusi speaking<U+0001F923><U+0001F923>#SONA2019"
"11607","As i plan my leave around Workers day and #ElectionDay<U+0001F914><U+0001F914><U+0001F914> #SONA2019"
"11608","Election date 8 May 2019 #SONA2019"
"11609","Ooooh Jeso we are in shit <U+0001F646><U+0001F3FD><U+200D><U+2640><U+FE0F><U+0001F646><U+0001F3FD><U+200D><U+2640><U+FE0F><U+0001F646><U+0001F3FD><U+200D><U+2640><U+FE0F>Total discovery of what???America will be on our case<U+0001F646><U+0001F3FD><U+200D><U+2640><U+FE0F><U+0001F646><U+0001F3FD><U+200D><U+2640><U+FE0F><U+0001F646><U+0001F3FD><U+200D><U+2640><U+FE0F>#SONA2019"
"11610","“It is imperative,it is imperative, it is imperative “ ooooooooh..IT IS IMPERATIVE THAT LESS YADA YADA MORE IMPLEMENTATION MR PRESIDENT ..#SONA2019 https://t.co/jfTtrsJlRq"
"11611","They know how to compose songs yong<U+0001F923><U+0001F923><U+0001F923> #SONA2019"
"11612","National elections to be held on 8th May 2019. #SONA2019"
"11613","#SONA2019 The shades kodwa mto mdala<U+0001F644><U+0001F644><U+0001F644> https://t.co/T76ELZSEeQ"
"11614","Ai tog! Same promises. Same cluelessness as to solutions. Sorry @CyrilRamaphosa ... I've heard it all before. #SONA2019"
"11615","Why does this sound like EFF's manifesto? #SONA2019 #SONA19"
"11616","Who is chanting 'Agrizzi' in that song?  Wild. Satafrika, your leaders are naughty. <U+0001F62D><U+0001F602> #SONA2019 #SONA19"
"11617","#Ramaphosa was in charge of SOEs as Deputy

No use talking about SOE recovery

When arrests on #BrianMolefe and the Guptas have not been made

R400 million contract &amp; no delivery (#GuptaLeaks)

#Sona2019"
"11618","How was  #SONA2019?"
"11619","I felt every word said by our great president @CyrilRamaphosa in his wonderful and hart felt speech of #SONA2019. As a young South African I lift up both my hands, rising to the call of #ThumaMina https://t.co/ofT5d7aTsZ"
"11620","@Maleka_Moroane They still trying to understand that good English to disagree and then boom...closing speech  #SONA2019 <U+0001F60F>"
"11621","Please we do need thata stationery, and the technological text books.....  #SONA2019 #sona19"
"11622","Some just can't believe the good behavior tonight by the @EFFSouthAfrica during #SONA2019 https://t.co/Uqr9cCLsrs"
"11623","8th May 2019, National elections. 

#SONA2019 #ActivateYouthVote2019"
"11624","Listening to the guy from freedom front's reaction to #SONA2019 does not offer any sense"
"11625","Missed the whole #SONA2019. Did the EFF behave?"
"11626","""Let us embrace the spirit of active citizenship"" Cyril Ramwphosa #SONA2019"
"11627","Ok. How was the #SONA2019 ?"
"11628","Ramaphosa long paralyzed opposition from the beginning. This man is golden <U+0001F602> #SONA2019"
"11629","ORDER! <U+0001F602> I KNEW IT! #SONA2019"
"11630","Well again #HumanTrafficking is still under  the table  #sona2019"
"11631","#SONA2019 the calmess of today<U+0001F44F><U+0001F44F>
I'm proud https://t.co/fQgvkFGEBR"
"11632","8th of May is a public holiday this year #SONA2019 #sona19. 

Please don’t drag me to the polling station, angiyi. https://t.co/EU58GTaifx"
"11633","#SONA2019 #SONA19 <U+0001F602><U+0001F602><U+0001F602> The background singer bane remix yabo bodwa. #Agrizzi #Bosasa https://t.co/YorMCrAsKQ"
"11634","#SONA2019 just when I thought kuzoba mnandi kanti usukumela ukuceba abanye abantwana <U+0001F61E>. https://t.co/iLo2YqDyB1"
"11635","Can @MmusiMaimane please shut it for once.#SONA2019 “It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. “The credit belongs to the man who is actually in the arena"
"11636","#SONA2019 reading eff manifesto mos"
"11637","@Eusebius hope all you heard on #SONA2019 today was #EFFManifesto a true reflection of eff commitment"
"11638","Vele drana dololo ka #SONA2019"
"11639","Ladies go to work or need a little heel they can put on this #shoes
#SONA2019 https://t.co/EHviBGoaZV"
"11640","Aggrizi toasting his name been sung in Parliment #SONA2019 <U+0001F602><U+0001F602> https://t.co/vSAUAHdwov"
"11641","Mmusi Maimane speaks like a sports presenter #SONA2019"
"11642","Where's the #SONA2019 after party, North West?"
"11643","#SONA2019 A well rehearsed speech...A deja vu of some sort https://t.co/bIzBbJ9vrF"
"11644","Outstanding #SONA2019  speech by SA President #CyrilRamaphosa."
"11645","The presenters on 408 <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> #SONA2019"
"11646","#SONA2019 Madam Speaker Can you please tell Honourable thabang to stop clapping hands here!!! He thinks we are playing here!!<U+0001F601><U+0001F601><U+0001F601> https://t.co/M7miGXpgQF"
"11647","Mam' Khawula is my gees dier <U+0001F602><U+0001F602><U+0001F602> #SONA2019"
"11648","If that learner who got slapped was Mam' Khawula's daughter, she wouldve gone to the school and beat up the teacher... then gone home and beat up the child <U+0001F923><U+0001F923><U+0001F923> #SONA2019"
"11649","Haha Juju #SONA2019"
"11650","DA gae swabe #SONA2019 https://t.co/Huv88sicbQ"
"11651","Bonang https://t.co/MtOGkbBjTk  #SONA2019"
"11652","Mara la mona Min Stella Ndabeni Abraham's  ban ??? <U+0001F525><U+0001F60D><U+0001F646> #SONA2019 

@Stellarated  <U+0001F62D><U+0001F525>"
"11653","No one wants to kill our politicians ,bathong drop the 8 bodyguard thing #SONA2019"
"11654","Lekker tye maak my dood. #SONA2019"
"11655","Min stres meer sjampanje. #SONA2019"
"11656","We pride ourselves on making team building days, engaging, experiential and fun. #TeambuildingGalore #Conferences #Teambuilding #OutDoorPlay #Events #Corporate #Events #Leadership #Discovery #Championship #Competitive #advantage #Socialization #SONA2019 https://t.co/Yo57G8IkgF"
"11657","My spirit animal. #SONA2019 https://t.co/8VvBZrWj9A"
"11658","Is that Julius singing Agrizzi and Bossasa <U+0001F602> #SONA2019 https://t.co/3leNYca4xB"
"11659","Maimane is exhausting. Tula Msunu   #SONA2019"
"11660","This was a comprehensive #SONA2019. We're a work in progress. We've made strides and there's still a way to go. Let's start with the low hanging fruit."
"11661","Mmusi Maimane needs help understanding English clearly #SONA2019"
"11662","#Sona2019 President Cyril Ramaphosa said the directorate will identify priority cases for investigation and prosecution to recover assets identified to be the proceeds of corruption.
https://t.co/SSscuOAC6o"
"11663","“It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better.” Theodore! Great finish @CyrilRamaphosa #SONA2019 @ANCParliament"
"11664","#SONA2019 analyses..."
"11665","Hayi MNA I miss ya Nxami  #Parliament y'all are too serious man #SONA2019 https://t.co/nMupN5A9R6"
"11666","Lmao the remix of  Unity song  @ParliamentofRSA #SONA2019"
"11667","Mr Thuma mina still didn't declare Fridays as part of a weeknd? #SONA2019"
"11668","Arrest The President
#SONA2019"
"11669","ANC and Ramaphosa shouks be Arrested #SONA2019"
"11670","Man it’s great to have a real Prez again. To have a leader that actually understands what he is reading. #SONA2019"
"11671","#SONA2019 @ Johannesburg, Gauteng https://t.co/iaae9xIxvc"
"11672","#SONA2019 Whos our deputy president? What does he do for a living?"
"11673","Next time the #SONA2019  must be delivered in the morning or early afternoon, these far cats are falling asleep. https://t.co/kQmegZ5rFj"
"11674","#SONA2019  

When Cyril said 'everyone must pay for electricity '

Alexandra residents : https://t.co/m43ndNFur2"
"11675","On a serious note.we are lucky to have an opposition like #EFF that is able to pressurize the ANC To do right by us. #SONA2019"
"11676","South Africa this man (matamela) can lead us to the promised land...I say we give him a chance.

#SONA2019 https://t.co/4f9eikOGtt"
"11677","#SONA2019 

Whenever Cyril said 'watch the space' 

Me : https://t.co/ojgfawUHCg"
"11678","To all of y'all that were looking forward to the #EFF disrupting the #SONA2019 for no reason.... https://t.co/dyu9Bg4Tho"
"11679","""phakama agrizzi ixhesha li fikile"" <U+0001F602> <U+0001F602> <U+0001F602>

#SONA2019"
"11680","#SONA2019
Waar die kranse antwoord gee <U+0001F602><U+0001F602><U+0001F602>"
"11681","#SONA2019...we don't care what Cyril promised, the new government is coming after the votes @EFFSouthAfrica"
"11682","Ramaphosa will introduce the directorate for special operations in the NPA. In simpler terms the Scorpions are back!! #SONA2019"
"11683","Plagiarism #SONA2019"
"11684","Vote For Free Library Services #SONA2019"
"11685","The digital textbooks and tablets will enrich fat cats through tenders. Libraries can facilitate this initiative. #SONA2019"
"11686","Plagiarism is a serious misconduct #SONA2019"
"11687","Did I just hear Ndlozi shouting, Aggrizziiii <U+0001F602><U+0001F602><U+0001F602>in the background .? #SONA2019 https://t.co/UT8lWM2QpS"
"11688","@CyrilRamaphosa That last quote was inspiring. Ready to work <U+0001F62D><U+0001F64F> #SONA2019"
"11689","@Eskom_SA employees glued to their TVs waiting for the announcement on restructuring of @Eskom_SA or the energy sector #SONA2019 #SONA19 https://t.co/VjVtzGAQ4W"
"11690","#SONA2019 was NOT boring. Y'all just wanted drama. Haaayiiii le ya tena! https://t.co/XCEWdvFEXi"
"11691","My wife is in need of an internship /job around (JHB &amp; PTA) , Got a diploma in Hr n currently busy with her degree. Any assistance would be appreciated <U+0001F642><U+0001F642>.. Dm me for her details.
Kindly share... <U+0001F917>
#SONA2019
#"
"11692","So no arrests so far <U+0001F602><U+0001F923><U+0001F602><U+0001F923><U+0001F602> #SONA2019"
"11693","CR is bringing back the scorpions via the back door with the creation of this new directorate with the NPA #SONA2019"
"11694","SD Mabhuza 's wife <U+0001F633><U+0001F633><U+0001F633><U+0001F633><U+0001F633><U+0001F633><U+0001F633>#SONA2019"
